ID,CBSA,Alcohol,Marijuana,Heroine,Cokaine,Methaphetamine,Opiates,Patients,Metro_Areas,Total_population,Male_population,Female_population,Area_ID,Poverty_percent,Per_Capita,Agriculture_related,Construction,Manufacturing,Wholesale_trade,Retail_trade,Transportation_Warehouse,Information,Banking,Professional_Scientific_Management,Education_health_services
129,30340,992,801,696,499,13,751,2052,"Lewiston-Auburn, ME Metro Area",107470,52634,54836,30340,16.1,24734,579,3487,5935,1226,8002,2063,1157,3547,4041,13921
130,30460,697,537,441,372,84,557,1653,"Lexington-Fayette, KY Metro Area",483997,237577,246420,30460,17.5,28216,7511,12302,26640,6105,27921,8718,3896,11686,23749,65585
131,30700,5741,1447,42,347,1090,307,6803,"Lincoln, NE Metro Area",310665,155778,154887,30700,14.6,27516,2626,10030,15896,3829,18922,7033,3944,13012,15120,43805
132,30780,963,684,41,294,482,416,1990,"Little Rock-North Little Rock-Conway, AR Metro Area",716849,347819,369030,30780,14.8,26222,4756,20724,25333,8900,40841,17170,9532,21552,29521,87018
133,30860,374,323,39,29,173,82,566,"Logan, UT-ID Metro Area",128807,64272,64535,30860,15.6,19945,2018,2931,11301,901,6776,1486,1168,2213,5479,15764
134,30980,221,253,7,79,140,63,508,"Longview, TX Metro Area",216746,108697,108049,30980,17.7,23400,7346,7579,11092,3260,11285,4654,1132,4286,7169,19226
135,31080,11052,10503,12982,3333,14080,2364,37238,"Los Angeles-Long Beach-Anaheim, CA Metro Area",13060534,6438759,6621775,31080,17.1,29506,30963,338409,672403,219303,651836,285477,230377,413795,767894,1224495
136,31140,2585,1863,3325,1330,735,1532,6467,"Louisville/Jefferson County, KY-IN Metro Area",1253305,611409,641896,31140,14.8,27488,4238,30819,78724,17805,64883,43880,11934,44506,54004,138104
137,31180,364,405,41,125,387,79,840,"Lubbock, TX Metro Area",298578,147529,151049,31180,20.2,24326,4376,9810,7355,5108,18651,5756,2669,8250,10841,41699
138,31460,242,215,22,22,300,14,508,"Madera, CA Metro Area",152452,73450,79002,31460,23.2,17797,10895,3034,4244,1145,5340,2633,882,1893,3346,9983
139,31700,606,451,604,280,23,400,1333,"Manchester-Nashua, NH Metro Area",402776,199502,203274,31700,8.6,34767,1282,14179,30878,6324,26449,9251,5208,15117,25902,47054
140,31900,23,21,9,14,1,16,51,"Mansfield, OH Metro Area",122813,62260,60553,31900,16.3,21959,474,2164,10533,1186,6236,2333,1015,2170,3755,11488
141,32780,322,309,106,8,270,101,606,"Medford, OR Metro Area",206583,100809,105774,32780,17.8,24460,2638,4429,7153,1985,12120,3679,1861,4326,7133,22708
142,32820,1330,1017,392,869,152,569,2551,"Memphis, TN-MS-AR Metro Area",1337014,641599,695415,32820,19.4,25191,3678,32253,59112,21246,67365,66451,8607,33096,55701,133619
143,32900,201,349,202,41,509,107,922,"Merced, CA Metro Area",261609,131899,129710,32900,25.6,18464,12422,5628,11002,3195,11031,4803,1264,3497,6115,20977
144,33100,1787,1463,538,1062,42,881,4174,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",5775204,2800775,2974429,33100,17.3,27240,17770,170275,126001,99365,346828,152931,58628,205226,356415,546285
145,33260,141,250,8,85,81,26,396,"Midland, TX Metro Area",151483,75185,76298,33260,10.1,34596,15143,5896,3915,2743,8690,3662,1102,3631,5860,12974
146,33460,20963,13134,5000,3870,6435,4664,32930,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3424786,1692444,1732342,33460,10.6,34593,16366,86304,245718,55456,204161,81681,37221,155916,213726,419134
147,33700,453,627,665,35,1099,194,1901,"Modesto, CA Metro Area",522794,258618,264176,33700,20.3,21729,11348,14164,25104,8998,27939,10775,2563,7581,17604,44835
148,33740,27,22,2,22,28,14,62,"Monroe, LA Metro Area",177908,85575,92333,33740,24.8,21814,1957,4963,5690,1775,8878,3492,2147,5564,5167,19291
149,33780,134,97,136,64,2,91,321,"Monroe, MI Metro Area",150851,74367,76484,33780,11.8,26617,764,3620,13409,1752,7092,5092,921,2741,4960,15487
150,34060,115,83,24,15,5,45,168,"Morgantown, WV Metro Area",134052,69270,64782,34060,20.6,24884,3384,3514,4556,993,6873,2348,1123,1945,5829,20784
151,34100,69,61,3,14,13,78,130,"Morristown, TN Metro Area",115029,56361,58668,34100,19.6,21096,1029,3395,9554,1376,6490,2732,748,1835,2987,9538
152,34580,743,616,494,137,559,179,1321,"Mount Vernon-Anacortes, WA Metro Area",118364,58664,59700,34580,14.9,27598,1842,3807,6033,1402,6534,2117,579,2568,4261,10898
153,34740,798,537,352,273,33,389,1665,"Muskegon, MI Metro Area",171328,84953,86375,34740,20.3,21037,820,3075,16824,1505,7961,2253,626,2483,4651,16265
154,34820,62,144,52,27,1,30,323,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",396187,192954,203233,34820,18.1,24709,1613,15199,7540,2952,26360,6267,2901,11228,15928,31142
155,34900,617,334,101,40,535,99,1118,"Napa, CA Metro Area",139253,69301,69952,34900,10.3,35092,4184,4012,8130,1702,7053,2196,1056,3745,6578,14404
156,34980,762,733,121,570,144,471,1636,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1730515,843981,886534,34980,14.4,28521,6010,53888,85882,25076,99958,40346,23305,58845,88780,193603
157,35100,94,159,12,68,6,129,421,"New Bern, NC Metro Area",127820,64345,63475,35100,16.1,24296,1695,3071,5270,675,5428,2189,691,2035,3580,11962
158,35300,4191,3430,5050,3665,21,1767,11130,"New Haven-Milford, CT Metro Area",863148,416027,447121,35300,12.7,32794,1353,20071,49692,11864,45399,16204,9568,26456,37837,131871
159,35380,301,220,178,165,52,202,774,"New Orleans-Metairie, LA Metro Area",1226440,594380,632060,35380,18.7,27458,11369,47801,37715,16331,62686,32038,9180,31340,60940,125089
160,35620,120591,71611,79915,67125,1217,19843,219603,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",19865045,9593127,10271918,35620,14.3,36078,19806,521468,572501,272122,996242,528813,312736,867004,1198859,2397470
161,35660,163,145,157,50,1,123,334,"Niles-Benton Harbor, MI Metro Area",155992,76101,79891,35660,17.6,24304,1248,3473,13292,1290,6917,4333,829,2779,5000,16570
162,35840,53,39,21,52,7,72,149,"North Port-Sarasota-Bradenton, FL Metro Area",722784,347156,375628,35840,13.2,30813,2843,20829,17963,6637,42224,9236,4637,21942,37171,63835
163,35980,4516,925,3018,926,9,629,8495,"Norwich-New London, CT Metro Area",274071,137029,137042,35980,9.1,34241,625,6990,17383,2179,14800,5253,1982,5708,11591,32449
164,36220,184,104,40,57,70,38,269,"Odessa, TX Metro Area",144932,72359,72573,36220,14.6,25726,8999,5909,5526,2665,7968,3778,765,2981,4427,11878
165,36260,1132,735,312,150,590,229,1543,"Ogden-Clearfield, UT Metro Area",614521,308872,305649,36260,9.9,24890,3356,16302,37145,7126,33385,11705,4810,16395,28319,56953
166,36500,647,651,329,68,302,289,1158,"Olympia-Tumwater, WA Metro Area",259330,126989,132341,36500,11.9,29909,1916,7177,6581,2487,13200,4982,1625,6226,10285,24996
167,36540,4256,1652,96,364,1310,546,5913,"Omaha-Council Bluffs, NE-IA Metro Area",886157,437880,448277,36540,12.3,29147,6139,30478,39425,12884,52725,25840,10754,43978,49075,108795
168,36740,468,267,346,357,26,337,1158,"Orlando-Kissimmee-Sanford, FL Metro Area",2226835,1088823,1138012,36740,16.2,24876,5561,60905,48911,26975,136030,51572,25601,70897,137236,200698
169,36980,238,275,17,39,204,90,522,"Owensboro, KY Metro Area",115795,56425,59370,36980,16.1,22909,1585,3294,8926,873,6410,2743,430,3251,2981,11994
170,37100,1129,1153,1668,222,1953,390,4194,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",835790,414278,421512,37100,11.1,33308,20637,23225,40826,14367,44560,11965,10307,32725,47386,73625
171,37860,53,29,1,27,1,20,119,"Pensacola-Ferry Pass-Brent, FL Metro Area",462339,231649,230690,37860,15.4,25199,2074,12563,9540,4334,28200,9798,3493,13736,20363,44204
172,37900,1197,667,379,361,49,289,2123,"Peoria, IL Metro Area",380241,186017,194224,37900,13,28714,2758,9883,29845,4157,19756,7801,2930,10526,15487,44574
173,37980,6981,6180,9706,3930,172,3566,22211,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6015336,2904546,3110790,37980,13.2,32850,16959,147584,262557,79233,315577,132662,58524,233997,345198,754923
174,38300,2550,1321,2220,769,15,587,6136,"Pittsburgh, PA Metro Area",2358793,1143001,1215792,38300,12.3,30272,13364,63988,116250,31990,133954,63308,20690,80940,117778,301372
175,38340,1968,649,1174,477,18,485,3153,"Pittsfield, MA Metro Area",130064,62674,67390,38340,12.7,30168,617,4348,5365,1006,7516,1779,1184,3077,5766,19679
176,38860,3131,1588,2054,786,39,1410,5553,"Portland-South Portland, ME Metro Area",518387,251688,266699,38860,11.2,32001,3263,16123,25846,6897,35168,9409,5520,21643,28996,71631
177,38900,4807,3173,2521,461,2878,822,8338,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2288796,1130354,1158442,38900,13.9,30560,14897,62004,141568,37595,126230,53931,22704,74122,129915,239201
178,38940,325,49,42,61,2,236,541,"Port St. Lucie, FL Metro Area",433646,212648,220998,38940,16.2,27481,2223,13090,8896,4095,25295,8520,2684,10246,19244,40213
179,39300,9703,4334,11818,5380,90,4076,22330,"Providence-Warwick, RI-MA Metro Area",1604317,776584,827733,39300,13.7,30218,3798,44165,86105,22604,99013,29583,12864,51057,73125,207144
180,39340,328,280,269,87,263,137,671,"Provo-Orem, UT Metro Area",550774,276831,273943,39340,13.8,20927,3055,14285,23901,5882,29735,6582,6120,12179,32962,64950
181,39380,1713,859,1098,460,1053,662,3735,"Pueblo, CO Metro Area",160757,79168,81589,39380,19.3,22229,931,4853,4986,1336,9031,2510,1268,2899,5547,17687
182,39580,742,957,176,470,18,309,2143,"Raleigh, NC Metro Area",1189579,580492,609087,39580,12.3,31468,3307,36829,57641,17977,65783,21034,15056,39967,93960,124478
183,39660,3805,872,38,98,412,146,4189,"Rapid City, SD Metro Area",139040,70360,68680,39660,12,27062,3038,5351,3837,1903,8290,2815,1291,4509,5384,16174
184,39740,665,459,505,276,56,129,1386,"Reading, PA Metro Area",413016,202883,210133,39740,14.3,26998,3938,10762,36360,6287,23376,9638,2542,11070,17142,45836
185,39820,561,461,406,23,956,235,1658,"Redding, CA Metro Area",178520,87692,90828,39820,18,23763,1603,5122,3675,1291,9270,3035,940,3842,6818,17566
186,39900,1156,569,258,99,731,171,1937,"Reno, NV Metro Area",433919,218257,215662,39900,15.6,28699,2197,13255,14283,6775,24144,11016,3640,12151,22684,39635
187,40060,1840,1898,924,961,33,542,3586,"Richmond, VA Metro Area",1234058,597984,636074,40060,12.3,30944,3601,37620,44264,15277,67918,30257,9793,57852,68073,137557
188,40140,3668,4364,3005,442,7423,827,13073,"Riverside-San Bernardino-Ontario, CA Metro Area",4345485,2161685,2183800,40140,18,22571,21510,130429,163790,59195,224951,111384,26032,88100,161786,365544
189,40220,1133,876,357,639,67,448,1968,"Roanoke, VA Metro Area",310934,150247,160687,40220,13.8,27505,1299,9133,15865,4478,18748,8262,2220,10949,12946,36929
190,40340,1461,894,199,169,641,182,2094,"Rochester, MN Metro Area",210004,103411,106593,40340,8.7,32950,3554,5950,11820,2051,10966,3913,1982,3910,7400,44686
191,40380,10516,9272,4189,6450,99,2241,17064,"Rochester, NY Metro Area",1082578,526377,556201,40380,14.6,28320,6313,24570,68553,12256,59641,16804,11379,26105,53676,153741
192,40420,495,523,260,204,9,105,952,"Rockford, IL Metro Area",346031,169591,176440,40420,16.6,24981,1387,7690,34044,4099,17377,9053,2531,7421,12011,34890
193,40580,31,112,13,34,1,12,203,"Rocky Mount, NC Metro Area",150953,71844,79109,40580,20.5,21060,1789,3962,10669,2193,7722,3019,966,3202,3858,13671
194,40900,2321,3020,2516,505,3582,1400,8569,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",2197422,1076441,1120981,40900,16.1,29252,10561,59978,56875,24360,108948,42623,20345,70023,109966,215579
195,40980,951,772,393,345,43,615,1783,"Saginaw, MI Metro Area",197727,95723,102004,40980,18.1,22891,1000,3543,12516,2023,11011,3148,1308,4125,6359,20793
196,41060,1527,1181,275,133,908,398,2401,"St. Cloud, MN Metro Area",190708,95884,94824,41060,13.6,26152,3338,6752,14281,2751,13326,5018,1301,5388,7162,26335
197,41140,312,313,16,58,270,129,716,"St. Joseph, MO-KS Metro Area",127637,65456,62181,41140,15.7,22748,1219,3364,10365,1495,6482,2960,990,2933,3432,14067
198,41180,5251,5061,3764,1750,976,988,10186,"St. Louis, MO-IL Metro Area",2797737,1354888,1442849,41180,13.2,30024,9984,75478,148005,38861,153778,66326,28290,106930,143741,323692
199,41420,1039,631,172,32,597,145,1583,"Salem, OR Metro Area",396912,196306,200606,41420,18.7,22527,10327,9863,16011,3988,19805,5860,1833,8819,12975,39331
200,41500,367,284,303,133,575,76,1101,"Salinas, CA Metro Area",424927,218060,206867,41500,17.2,25048,29293,9753,8662,4923,18932,5532,2449,7055,15859,34474
201,41540,1404,1201,1099,621,8,501,2825,"Salisbury, MD-DE Metro Area",381868,186311,195557,41540,14.6,27353,3398,12658,14817,3890,22777,7345,2232,8579,13333,39466
202,41620,3737,2422,2235,1058,2822,721,7896,"Salt Lake City, UT Metro Area",1123643,564616,559027,41620,12.7,26516,5493,36179,59513,16414,64749,28940,13692,45490,69737,110647
203,41660,108,121,10,22,159,30,266,"San Angelo, TX Metro Area",115142,56746,58396,41660,16,24528,4151,2886,3591,1259,6402,1579,913,2557,4391,12914
204,41700,2115,1367,1319,850,791,349,4314,"San Antonio-New Braunfels, TX Metro Area",2239222,1101982,1137240,41700,16.6,25298,16318,76756,63085,24854,123110,43503,18566,86300,107404,231118
205,41740,5053,4737,4296,911,7159,919,14491,"San Diego-Carlsbad, CA Metro Area",3183143,1598266,1584877,41740,14.7,31043,13547,79839,132794,35449,156971,52708,32394,92523,205270,301293
206,41860,8737,4546,5194,4255,6563,1598,20527,"San Francisco-Oakland-Hayward, CA Metro Area",4466251,2202384,2263867,41860,11.3,42540,10661,115266,176208,54872,224919,101848,78187,173464,392615,478907
207,41940,3493,3081,611,661,4604,226,8239,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1898457,953276,945181,41940,10,42176,7494,48284,169756,21549,89476,24999,37374,43749,168767,170449
208,42020,387,448,376,55,501,159,1219,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",274184,139946,134238,42020,14.8,30392,4365,8617,7965,2592,15003,6075,2315,5564,13021,28672
209,42100,707,512,672,94,681,103,1694,"Santa Cruz-Watsonville, CA Metro Area",267203,132817,134386,42100,15.3,33050,7157,8655,11621,3281,14862,3162,2434,5508,15769,30919
210,42140,1051,168,150,48,106,82,1482,"Santa Fe, NM Metro Area",146361,71323,75038,42140,16.7,32454,793,4607,1911,893,7842,2200,1089,3945,10521,14951
211,42200,1055,1327,805,181,1203,205,3219,"Santa Maria-Santa Barbara, CA Metro Area",431555,216370,215185,42200,16.6,30526,17312,10687,14621,4578,20619,5900,4085,10079,22511,45680
212,42220,2700,1619,925,204,1959,590,4918,"Santa Rosa, CA Metro Area",491790,241329,250461,42220,12.3,33361,7048,17038,23385,6896,28881,7689,4380,15071,27441,49131
213,42340,86,79,3,45,6,14,161,"Savannah, GA Metro Area",361161,175399,185762,42340,17.4,25818,756,10437,16238,3544,19877,11052,2362,7778,14184,35913
214,42540,649,329,420,120,10,191,1393,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",562644,274978,287666,42540,15.2,25304,2063,13911,31894,8378,34264,14562,4890,14612,18882,66387
215,42660,7437,6470,4521,2057,3922,2157,13473,"Seattle-Tacoma-Bellevue, WA Metro Area",3557037,1773931,1783106,42660,11.7,36061,11555,99951,203426,51754,208603,84633,52065,105739,257981,364404
216,43300,53,86,1,12,43,14,152,"Sherman-Denison, TX Metro Area",121975,59446,62529,43300,15.8,24614,1575,4125,6986,1285,6473,1958,616,3949,4483,12175
217,43340,50,50,2,19,8,15,107,"Shreveport-Bossier City, LA Metro Area",445305,214469,230836,43340,19.4,24833,9377,12075,13073,5727,22286,10710,3327,9122,15188,49174
218,43580,1955,1601,18,150,965,160,2426,"Sioux City, IA-NE-SD Metro Area",168824,83243,85581,43580,13.3,24861,3136,4896,16380,2538,10012,4151,1439,4113,5748,18545
219,43620,3266,2128,70,311,967,552,4140,"Sioux Falls, SD Metro Area",238294,119056,119238,43620,10,28645,3093,8167,13157,4817,15890,5287,2615,15631,9274,33241
220,43780,301,237,36,64,64,74,436,"South Bend-Mishawaka, IN-MI Metro Area",318917,155212,163705,43780,17.1,23906,1057,6921,26270,4136,16092,5731,1931,7421,11163,39006
221,44060,2283,2075,909,333,1445,871,3830,"Spokane-Spokane Valley, WA Metro Area",533456,264771,268685,44060,15.9,25685,2997,13570,19590,8142,29193,11417,4110,15025,21578,60229
222,44100,433,553,185,224,69,102,884,"Springfield, IL Metro Area",211466,101566,109900,44100,14.6,30522,1471,4815,4810,2453,11311,4468,1805,8081,8638,27304
223,44140,3066,1284,4774,2095,20,931,7429,"Springfield, MA Metro Area",626775,299661,327114,44140,16.8,27179,1829,14271,30343,6886,33712,12085,5286,18744,22926,93176
224,44180,1734,1694,169,136,1419,539,2910,"Springfield, MO Metro Area",444728,217672,227056,44180,17.6,23233,2222,11138,17836,6352,28121,11035,4177,12362,17322,54475
225,44220,282,300,195,189,7,94,536,"Springfield, OH Metro Area",137303,66448,70855,44220,19,22941,632,2667,9462,2120,7158,2415,700,3481,3970,14935
226,44300,218,88,48,16,4,31,336,"State College, PA Metro Area",156240,81386,74854,44300,20.3,25803,1388,3575,5615,1077,7792,2354,1105,3371,6026,28050
227,44420,164,155,3,34,72,59,279,"Staunton-Waynesboro, VA Metro Area",119016,57860,61156,44420,13.2,25297,987,3476,7214,1265,8065,2958,1025,2079,4035,14060
228,44700,412,540,829,140,769,336,2110,"Stockton-Lodi, CA Metro Area",701050,348616,352434,44700,19.4,22642,14002,18682,26583,11810,33028,18367,4709,13525,26033,59060
229,45060,5838,4767,4871,3660,177,2804,11882,"Syracuse, NY Metro Area",662236,322275,339961,45060,15.4,27741,2736,16838,26616,9372,35977,15935,6153,18947,28120,91174
230,45220,249,16,5,19,3,34,325,"Tallahassee, FL Metro Area",373097,181853,191244,45220,23.1,24826,1551,8201,4428,2869,19767,5064,2759,9217,21685,43508
231,45300,1388,418,269,267,77,1783,3603,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2851235,1380685,1470550,45300,15.7,27252,11410,75573,73484,35367,162466,54150,29798,119364,165597,278740
232,45780,443,455,158,168,1,141,803,"Toledo, OH Metro Area",608847,296204,312643,45780,19.2,25312,2229,12988,42896,7486,30796,15185,4359,12499,24018,73445
233,45820,338,321,10,55,324,71,584,"Topeka, KS Metro Area",234195,114490,119705,45820,14.6,26330,1752,7069,9352,2344,12648,5667,1964,7894,8755,28773
234,45940,952,868,605,456,6,236,2234,"Trenton, NJ Metro Area",369526,180915,188611,45940,11.7,38076,786,7265,14848,4971,16299,6933,4474,14486,24403,47023
235,46220,169,100,42,27,69,103,395,"Tuscaloosa, AL Metro Area",233692,112730,120962,46220,19.7,22349,2596,7280,12768,2259,11417,3816,1501,4578,6927,28815
236,46340,92,126,3,34,81,51,256,"Tyler, TX Metro Area",214735,103784,110951,46340,16.9,24924,3179,6779,8964,2770,12981,3872,1907,4736,7819,25451
237,46520,2372,2015,175,398,1983,252,4140,"Urban Honolulu, HI Metro Area",975690,492281,483409,46520,9.8,30735,3058,29783,14885,10862,53306,28000,7683,30292,44780,98881
238,46540,2357,2259,1663,1399,113,828,4536,"Utica-Rome, NY Metro Area",298273,148231,150042,46540,16.4,25196,1936,7109,14086,2338,14996,4989,1870,9822,9558,37914
239,46700,282,231,204,74,359,178,867,"Vallejo-Fairfield, CA Metro Area",421624,209901,211723,46700,13.1,29132,2828,12096,17169,5145,21791,10709,3304,11029,17144,41925
240,47220,674,508,332,273,9,159,1302,"Vineland-Bridgeton, NJ Metro Area",157429,81133,76296,47220,18,22425,1694,3630,7348,1904,7292,3268,573,2593,4867,17705
241,47260,2351,1909,815,1186,41,357,3864,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1697898,835329,862569,47260,12.2,29098,3600,49969,68911,16379,92788,32750,13838,44717,86569,172582
242,47300,859,1172,854,80,1349,333,3381,"Visalia-Porterville, CA Metro Area",451108,225881,225227,47300,27.4,17888,32994,8130,13217,7868,19287,7746,1358,6192,10655,34590
243,47900,13532,9039,4834,5368,159,2771,22043,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",5863608,2859981,3003627,47900,8.4,43884,10721,193258,94070,39846,258113,110709,89117,188902,635770,601321
244,47940,1440,1068,90,193,597,179,2065,"Waterloo-Cedar Falls, IA Metro Area",168831,82533,86298,47940,14.6,25912,1936,4821,15514,2411,10158,3314,1165,5250,5597,21765
245,48060,636,650,304,266,54,199,1163,"Watertown-Fort Drum, NY Metro Area",118885,61515,57370,48060,15,23681,658,3078,2793,813,6560,1620,756,1802,3249,11091
246,48260,74,28,20,2,2,14,101,"Weirton-Steubenville, WV-OH Metro Area",122666,59449,63217,48260,16.5,23066,863,3178,6489,1081,6406,2917,710,2342,3559,14431
247,48540,165,128,51,28,3,76,266,"Wheeling, WV-OH Metro Area",146465,72574,73891,48540,15.3,24464,3694,3858,4532,1465,8628,3238,1089,3108,4312,17014
248,48620,1124,1212,55,288,732,300,2028,"Wichita, KS Metro Area",636095,314826,321269,48620,14.4,25848,4676,19641,56678,7504,31922,12841,5135,14667,23185,71375
249,48660,118,146,2,26,37,21,235,"Wichita Falls, TX Metro Area",151202,77698,73504,48660,16.1,23503,2423,3371,5921,1702,8258,2574,1327,3002,4761,16762
250,48700,61,25,59,15,3,11,176,"Williamsport, PA Metro Area",116676,57253,59423,48700,14.8,23531,1415,3228,8237,1314,6783,3223,701,2512,3946,13249
251,48900,873,708,511,264,10,468,2382,"Wilmington, NC Metro Area",263804,128367,135437,48900,18.1,28435,837,10183,8638,3406,15608,5159,2991,6555,14314,28458
252,49180,1582,1681,393,886,53,719,3532,"Winston-Salem, NC Metro Area",648045,311956,336089,49180,17.9,24978,2177,16875,44520,7733,31467,14043,4721,17413,26954,73072
253,49340,5269,2109,7874,2647,32,1547,13235,"Worcester, MA-CT Metro Area",924722,456142,468580,49340,11.5,31558,2905,26095,60272,12153,53741,18151,8666,28208,47976,125077
254,49420,1696,1414,506,264,972,274,2546,"Yakima, WA Metro Area",246402,123372,123030,49420,22.5,19861,15550,5038,7613,6146,11041,6115,1011,3486,5983,21529
255,49620,244,78,263,40,2,25,642,"York-Hanover, PA Metro Area",438052,216406,221646,49620,10.3,28454,2000,14905,37174,7526,25798,11255,3001,11170,18971,47053
256,49660,254,290,272,156,10,167,884,"Youngstown-Warren-Boardman, OH-PA Metro Area",559144,272275,286869,49660,16.9,23357,2356,13453,39670,6009,30616,11084,3730,10548,17954,61575
257,49700,142,160,226,17,396,195,730,"Yuba City, CA Metro Area",168126,84283,83843,49700,19.2,21984,5226,4750,3522,1435,8308,3240,741,2776,5154,13924
